# ====== 角色等级成长表 ======
# 格式: CSV (逗号分隔)
#
# ====== 列说明 (4列) ======
# level:       等级 (1~20, 每行一个等级)
# xpRequired:  到达该等级的累计所需经验值 (首行 level=1 始终为 0)
# growth:      该等级的基础属性倍率 (1.00=基准, 1.08=+8%)
# offset:      升级时的随机偏移量 (±float)
#
# 角色属性实际值 = 基础值 × (growth + random(-offset, +offset))
#
# 经验获取机制: 每波结束后获得 xp = 波次编号 × 击杀数 × xpGain
level,xpRequired,growth,offset
1,0,1.00,0.00
2,40,1.08,0.04
3,110,1.17,0.05
4,220,1.26,0.05
5,380,1.36,0.06
6,600,1.46,0.06
7,890,1.57,0.07
8,1260,1.68,0.07
9,1720,1.80,0.08
10,2280,1.92,0.08
11,2950,2.05,0.09
12,3740,2.18,0.09
13,4660,2.32,0.10
14,5720,2.46,0.10
15,6930,2.61,0.11
16,8300,2.76,0.11
17,9840,2.92,0.12
18,11560,3.08,0.12
19,13470,3.25,0.13
20,15580,3.42,0.13
