# ====== 难度配置表 ======
# 格式: CSV (逗号分隔)
# 定义了从"标准"到"极限★9"共10个难度等级
#
# ====== 列说明 (9列) ======
# id:             难度编号 (0=标准, 1-9=挑战★1~★9)
# 中文名:         难度中文名称
# 英文名:         难度英文名称
# enemyMult:      怪物属性倍率 (1.0=标准, 3.5=3.5倍HP/DMG/SPD)
# spawnRate:      生成速度倍率 (1.0=标准, 2.0=双倍出怪)
# eliteInterval:  精英出现间隔 (关卡数)
#                 0=不出精英, 正整数=每N关出精英
# bossWaves:      Boss出现波次JSON数组
#                 "[15]" = 第15关出Boss
#                 "[10,20]" = 第10/20关出Boss
#                 空数组或空=不出Boss
# newEnemyTypes:  新增敌人类型 (用 | 分隔)
#                 tank|ranged|exploder|healer|mortar|blinker|elite
#                 空=使用基础敌人池
# desc:           难度描述 (中文)
id,中文名,英文名,enemyMult,spawnRate,eliteInterval,bossWaves,newEnemyTypes,desc
0,标准,Standard,1.0,1.0,0,,,默认难度，怪物属性为标准值
1,挑战★1,Challenge 1,1.2,1.0,0,,,怪物属性提升至1.2倍
2,挑战★2,Challenge 2,1.4,1.1,0,,,怪物属性1.4倍，生成速度略增
3,挑战★3,Challenge 3,1.6,1.2,15,"[15]","tank",怪物属性1.6倍，15关出Boss，新增重装机兵
4,挑战★4,Challenge 4,1.8,1.3,10,"[10,20]","tank|ranged",怪物属性1.8倍，每10关出精英，Boss在10/20关
5,挑战★5,Challenge 5,2.0,1.4,8,"[8,16,24]","tank|ranged|exploder",怪物2倍，精英间隔8关，Boss在8/16/24关
6,挑战★6,Challenge 6,2.3,1.5,6,"[6,12,18,24]","tank|ranged|exploder|healer",怪物2.3倍，精英6关间隔
7,挑战★7,Challenge 7,2.6,1.6,5,"[5,10,15,20,25]","tank|ranged|exploder|healer|mortar",怪物2.6倍，精英5关间隔
8,挑战★8,Challenge 8,3.0,1.8,4,"[4,8,12,16,20,24]","tank|ranged|exploder|healer|mortar|blinker",怪物3倍，精英4关间隔
9,极限★9,Extreme 9,3.5,2.0,3,"[3,6,9,12,15,18,21,24]","tank|ranged|exploder|healer|mortar|blinker|elite",怪物3.5倍，精英3关间隔，极限挑战
