# 敌人数值表
# 格式: CSV (逗号分隔), 以 # 开头的行为注释行
# 可在 Excel / Google Sheets 中直接编辑
#
# ====== 列说明 (16列) ======
# id:              敌人唯一标识 (英文, 程序内部用)
# name:            敌人名 (中文)
# behavior:        行为模式
#   chase    追击型 (默认, 直冲玩家)
#   fast     快速追击 (更高速度)
#   tank     重装坦克 (高HP低移速)
#   ranged   远程射击 (保持距离射击)
#   explode  自爆 (接近后爆炸)
#   heal     治疗者 (远程治疗友军)
#   mortar   迫击炮 (远程范围攻击)
#   blink    闪现 (间歇性瞬移)
#   swarm    虫群 (群聚加速)
#   summoner 召唤师 (召唤小怪)
# hp:              基础生命值
# speed:           基础移动速度 (像素/秒)
# damage:          基础伤害值 (每次攻击)
# radius:          碰撞半径 (像素, 决定体型)
# color:           主体颜色 (CSS色值, #rrggbb)
# glowColor:       发光颜色 (CSS色值, #rrggbb)
# xpValue:         击杀经验值
# materialValue:   击杀材料掉落量
# attackCooldown:  攻击间隔 (秒)
# isElite:         是否为精英 (true 或空)
# isBoss:          是否为Boss (true 或空)
# paramsJson:      行为专属参数JSON
#   常见字段:
#     preferredDist    首选距离 (像素)
#     bulletSpeed      子弹速度 (像素/秒)
#     explosionRadius  爆炸半径 (像素)
#     explosionDamageMult 爆炸伤害倍率
#     healCooldown     治疗间隔 (秒)
#     healRadius       治疗半径 (像素)
#     healAmount       治疗量
#     mortarCooldown   迫击炮间隔 (秒)
#     mortarSpeed      迫击弹速度 (像素/秒)
#     blinkCooldown    闪现冷却 (秒)
#     blinkDist        闪现距离 (像素)
#     dodgeChance      闪避概率 (小数)
# specialMechanic:  特殊机制
#   splitter  死亡分裂
#   shielded  护盾
#   leech     吸血
#   reflect   反伤
#   freeze    冰冻
#   空 = 无特殊机制
#
# 注意: 难度缩放(每关+12%HP/+10%DMG/+4%SPD) 在代码 enemy.js 中实现
#
id,name,behavior,hp,speed,damage,radius,color,glowColor,xpValue,materialValue,attackCooldown,isElite,isBoss,paramsJson,specialMechanic
#
# ====== 普通敌人 ======
basic,无人机兵,chase,10,80,3,14,#ff4444,#ff0044,2,1,1.5,,,,,
fast,疾行者,chase,7,160,2,10,#ff8800,#ff6600,2,1,1.2,,,,,
tank,重装机兵,chase,40,45,5,22,#8844ff,#6622ff,4,2,2.0,,,,,
ranged,狙击手,ranged,8,55,4,12,#ff00aa,#ff0088,3,1,2.0,,,"{""preferredDist"":250,""bulletSpeed"":350}",
#
# ====== 特殊行为敌人 ======
exploder,自爆者,explode,13,120,4,16,#ff5500,#ff2200,2,1,0,,,"{""explosionRadius"":80,""explosionDamageMult"":1.5}",
healer,修复者,heal,12,65,2,14,#44ff88,#22ff66,3,1,2.5,,,"{""preferredDist"":250,""healCooldown"":3.0,""healRadius"":120,""healAmount"":10}",
mortar,迫击者,mortar,10,40,6,14,#aa44ff,#8822ff,3,1,3.0,,,"{""preferredDist"":350,""mortarCooldown"":3.0,""mortarSpeed"":180}",
blinker,闪现者,blink,8,90,5,12,#ff44ff,#ff00ff,3,1,1.5,,,"{""blinkCooldown"":2.0,""blinkDist"":100,""dodgeChance"":0.3}",
#
# ====== 群体/召唤型 ======
swarm,虫群,swarm,8,110,2,8,#88ff44,#66ff22,2,1,0.8,,,,,
summoner,召唤师,summoner,20,55,5,16,#ff88ff,#ff66ff,5,2,4.0,,,"{""preferredDist"":300}",
#
# ====== 特殊机制敌人 ======
splitter,分裂者,chase,18,75,4,14,#ffaa44,#ff8822,3,1,1.5,,,,splitter
shielded,护盾者,chase,15,60,3,16,#4488ff,#2266ff,3,1,1.5,,,,shielded
leech,吸血者,chase,12,85,4,14,#ff4488,#ff2266,3,1,1.5,,,,leech
reflect,反伤者,chase,14,70,5,14,#cc44ff,#aa22ff,3,1,1.5,,,,reflect
freezer,冰冻者,chase,12,75,3,14,#44ccff,#22aaff,3,1,1.5,,,,freeze
#
# ====== 精英/Boss ======
elite,精英猎手,chase,83,70,7,24,#ffcc00,#ffaa00,10,5,1.0,true,,,
fireLord,火焰领主,chase,264,55,10,36,#ff4400,#ff2200,26,13,0.8,,true,,
frostLord,冰霜领主,tank,352,40,8,38,#44ccff,#22aaff,30,15,1.2,,true,,
shadowAssassin,暗影刺客,blink,200,70,12,30,#cc44ff,#aa22ff,28,14,1.0,,true,"{""blinkCooldown"":1.5,""blinkDist"":120,""dodgeChance"":0.4}",
