# 道具数值表
# 格式: CSV (逗号分隔), 以 # 开头的行为注释行
# 可在 Excel / Google Sheets 中直接编辑
#
# ====== 列说明 (12列) ======
# id:        道具唯一标识 (英文, 程序内部使用)
# name:      道具名 (中文)
# desc:      道具描述 (显示在游戏中的文字)
# cost:      基础购买价 (材料)
# icon:      道具图标 (emoji)
# unique:    是否唯一 (true=只能买一次)
# qualifies: 生效条件表达式 (空=无条件, 如 "weapons_count>=2" 或武器标签)
# rarity:    稀有度 (common|uncommon|rare|epic|legendary)
# triggers:  触发器类型 (onKill|onHit|onFire|revive等, 用 | 分隔)
# tags:      流派标签 (melee|ranged|fire|explosive|crit|tech|economy, 用 | 分隔)
# effects:   特殊效果JSON (如 [{"burnDps":3,"burnMaxStacks":1}])
# statMods:  属性修正JSON (如 {"maxHp":4, "hpRegen":0.3})
#
# 注: cost 为基础价, 商店实际售价受关卡数加成
id,name,desc,cost,icon,unique,qualifies,rarity,triggers,tags,effects,statMods
hp_up,生命强化,+15 最大生命,20,❤️,false,,common,,,,{maxHp:4}
hp_regen,治疗宝珠,+1 生命回复/秒,15,💚,false,,common,,,,{hpRegen:0.3}
speed_up,运动鞋,+10 移速,20,👟,false,,common,,,,{speed:3}
armor_up,护甲片,+2 护甲,25,🛡️,false,,common,,,,{armor:1}
dodge_up,轻羽披风,+3% 闪避,25,🌬️,false,,common,,,,"{""dodge"":0.03}"
dmg_up,锐利尖刺,+10% 伤害,25,⚡,false,,common,,,,"{""damagePercent"":0.1}"
attack_speed,速攻手套,+8% 攻速,25,💨,false,,common,,,,"{""attackSpeed"":0.08}"
crit_up,锋利刀刃,+3%暴击 -2%伤害,25,💥,false,,common,,,,"{""critChance"":0.03,""damagePercent"":-0.02}"
life_steal,吸血牙,+3%偷取 -2生命,25,🩸,false,,common,,,,"{""lifeSteal"":0.03,""maxHp"":-1}"
melee_dmg,力量手套,+3近战 -1远程,20,⚔️,false,melee,common,,melee,,"{""meleeDamage"":1,""rangedDamage"":-1}"
ranged_dmg,精准手套,+3远程 -1近战,20,🏹,false,ranged,common,,ranged,,"{""rangedDamage"":1,""meleeDamage"":-1}"
pickup_up,磁力手套,+12 拾取范围,15,🧲,false,,common,,,,{pickupRange:3}
range_up,瞄准镜,+30 射程 -3%攻速,20,🎯,false,,common,,,,"{""attackRange"":8,""attackSpeed"":-0.03}"
bigger_hp,巨人药剂,+30 最大生命 -5%速度,30,🧪,false,,uncommon,,,,"{""maxHp"":8,""speed"":-1}"
rapid_fire,速射核心,+15%攻速 -2护甲,35,🔥,false,,uncommon,,,,"{""attackSpeed"":0.15,""armor"":-1}"
pierce_shot,穿甲弹,+2穿透 -5%伤害,30,💀,false,ranged,uncommon,,ranged,,"{""projectilePierce"":2,""damagePercent"":-0.05}"
thorns_item,荆棘甲,反弹 5 伤害,25,🌵,false,,uncommon,onDamageTaken,,"[{""type"":""reflect"",""value"":5}]",{}
elemental_dmg,元素水晶,+3元素伤害 -1近战,30,🔮,false,,uncommon,,fire,,"{""elementalDamage"":3,""meleeDamage"":-1}"
regen_belt,生命腰带,+2生命回复 +20生命,30,💚,false,,uncommon,,,,"{""hpRegen"":0.5,""maxHp"":5}"
lucky_coin,幸运币,+3%暴击 +15%经验,30,🪙,false,,uncommon,,,,"{""critChance"":0.03,""xpGain"":0.15}"
evasion_cloak,幻影斗篷,+5%闪避 +20生命,35,🌀,false,,uncommon,,,,"{""dodge"":0.05,""maxHp"":5}"
warrior_ring,战士之戒,+15%伤害 -3%攻速,35,💍,false,,uncommon,,,,"{""damagePercent"":0.15,""attackSpeed"":-0.03}"
steel_boots,铁靴,+3护甲 +20生命 -5%移速,30,👢,false,,uncommon,,,,"{""armor"":1,""maxHp"":5,""speed"":-1}"
fury_blade,狂暴之刃,+10%攻速 击杀+2%攻速(5秒),35,🗡️,false,,uncommon,onKill,,"[{""type"":""buffAttackSpeed"",""value"":0.02,""duration"":5}]","{""attackSpeed"":0.1}"
sniper_scope,狙击镜,+45射程 -5%伤害,30,🔭,false,ranged,uncommon,,ranged,,"{""attackRange"":11,""damagePercent"":-0.05}"
repair_kit,维修包,+3生命回复 -2%闪避,30,🔧,false,,uncommon,,,,"{""hpRegen"":0.8,""dodge"":-0.02}"
