# ====== 升级卡牌表 (Brotato风格 升级抽卡系统) ======
# 格式: CSV (逗号分隔), 以 # 开头的行为注释行
# 共 17 属性 × 4 Tier + 3 特殊 = 71 张
#
# ====== 列说明 (11列) ======
# id:          卡牌唯一标识 (英文)
# name:        卡牌名 (中文, 如 "心脏")
# desc:        卡牌描述 (显示数值)
# iconName:    图标文件名 (assets/levelUpCards/ 目录下的 PNG 文件名, 不含扩展名)
# tier:        品质等级 I|II|III|IV (IV最高)
# statField:   属性字段名 (maxHp, armor, speed, critChance 等, 对应角色面板key)
# statValue:   属性值 (数值, 具体单位由字段决定)
# tags:        流派标签限制
#              melee|ranged|fire|explosive|tech|crit|economy
#              空 = 所有流派可用, 用 | 分隔 = 仅限这些流派
# unlockLevel: 角色等级解锁要求 (数字, 如 1=初始可用)
# actionType:  特殊动作类型 (空=普通属性卡)
#   weaponLevelUp  武器升级 (随机武器+1级)
#   weaponQualityUp 品质提升 (预留)
#   addWeaponSlot  增加武器槽
# actionValue: 特殊动作参数 (与actionType搭配)
id,name,desc,iconName,tier,statField,statValue,tags,unlockLevel,actionType,actionValue
maxHp_t1,心脏,最大生命 +3,maxHp,I,maxHp,3,,1,,
maxHp_t2,心脏,最大生命 +6,maxHp,II,maxHp,6,,5,,
maxHp_t3,心脏,最大生命 +9,maxHp,III,maxHp,9,,10,,
maxHp_t4,心脏,最大生命 +12,maxHp,IV,maxHp,12,,25,,
hpRegen_t1,肺脏,生命回复 +0.3/秒,hpRegen,I,hpRegen,0.3,,1,,
hpRegen_t2,肺脏,生命回复 +0.6/秒,hpRegen,II,hpRegen,0.6,,5,,
hpRegen_t3,肺脏,生命回复 +1.0/秒,hpRegen,III,hpRegen,1.0,,10,,
hpRegen_t4,肺脏,生命回复 +1.5/秒,hpRegen,IV,hpRegen,1.5,,25,,
lifeSteal_t1,利齿,生命偷取 +1%,lifeSteal,I,lifeSteal,0.01,melee,1,,
lifeSteal_t2,利齿,生命偷取 +2%,lifeSteal,II,lifeSteal,0.02,melee,5,,
lifeSteal_t3,利齿,生命偷取 +3%,lifeSteal,III,lifeSteal,0.03,melee,10,,
lifeSteal_t4,利齿,生命偷取 +4%,lifeSteal,IV,lifeSteal,0.04,melee,25,,
damagePercent_t1,三头肌,伤害% +4%,damagePercent,I,damagePercent,0.04,,1,,
damagePercent_t2,三头肌,伤害% +8%,damagePercent,II,damagePercent,0.08,,5,,
damagePercent_t3,三头肌,伤害% +12%,damagePercent,III,damagePercent,0.12,,10,,
damagePercent_t4,三头肌,伤害% +16%,damagePercent,IV,damagePercent,0.16,,25,,
meleeDamage_t1,前臂,近战伤害 +2,meleeDamage,I,meleeDamage,2,melee,1,,
meleeDamage_t2,前臂,近战伤害 +4,meleeDamage,II,meleeDamage,4,melee,5,,
meleeDamage_t3,前臂,近战伤害 +6,meleeDamage,III,meleeDamage,6,melee,10,,
meleeDamage_t4,前臂,近战伤害 +8,meleeDamage,IV,meleeDamage,8,melee,25,,
