# 波次配置表
# 格式: CSV (逗号分隔), 以 # 开头的行为注释行
# 可在 Excel / Google Sheets 中直接编辑
#
# ====== 列说明 (7列) ======
# waveNumber:          波次编号 (1=第1波, 依此类推)
# minBudget:           生成预算最小值 (决定本波出怪总数/强度下限)
# maxBudget:           生成预算最大值 (上限, 约 = minBudget + 10%)
#                      难度曲线: wave 1=8~10, wave 20=200~220
# availableBehaviors:  可选敌人行为, 用 | 分隔
#                      chase|fast|ranged|explode|heal|mortar|blink|swarm|summoner
# availableMechanics:  可选特殊机制, 用 | 分隔
#                      splitter|shielded|leech|reflect|freeze
#                      空 = 本波无特殊机制敌人
# spawnPattern:        生成阵型
#   random  随机散布 (默认)
#   circle  环绕生成
#   line    列队生成
#   wave    波状生成
#   ambush  伏击 (从暗处生成)
# specialRule:         特殊规则 (空=无)
#   bossEvery5    每5波出Boss
#   doubleSpawn   双倍生成
#   healingReduced 治疗效果减半
#
# 注: 波次生成逻辑在 wave.js 中实现，本表为配置骨架
#
waveNumber,minBudget,maxBudget,availableBehaviors,availableMechanics,spawnPattern,specialRule
1,8,10,chase,,random,
2,12,14,chase,,random,
3,16,18,chase|fast,,random,
4,20,22,chase|fast|ranged,,random,
5,24,26,chase|fast|ranged,,circle,
6,28,32,chase|fast|ranged|explode,,random,
7,32,36,chase|fast|ranged|explode|heal,,random,
8,36,40,chase|fast|ranged|explode|heal|mortar,,random,
9,40,45,chase|fast|ranged|explode|heal|mortar|blink,,random,
10,50,55,chase|fast|ranged|explode|heal|mortar|blink|swarm,splitter|shielded,random,
11,60,66,chase|fast|ranged|explode|heal|mortar|blink|swarm,splitter|shielded,random,
12,70,77,chase|fast|ranged|explode|heal|mortar|blink|swarm,leech,random,
13,80,88,chase|fast|ranged|explode|heal|mortar|blink|swarm|summoner,leech|reflect,random,
14,90,99,chase|fast|ranged|explode|heal|mortar|blink|swarm|summoner,leech|reflect,random,
15,100,110,chase|fast|ranged|explode|heal|mortar|blink|swarm|summoner,splitter|shielded|leech|reflect,random,bossEvery5
16,120,132,chase|fast|ranged|explode|heal|mortar|blink|swarm|summoner,splitter|shielded|leech|reflect|freeze,random,
17,140,154,chase|fast|ranged|explode|heal|mortar|blink|swarm|summoner,splitter|shielded|leech|reflect|freeze,random,
18,160,176,chase|fast|ranged|explode|heal|mortar|blink|swarm|summoner,splitter|shielded|leech|reflect|freeze,random,
19,180,198,chase|fast|ranged|explode|heal|mortar|blink|swarm|summoner,splitter|shielded|leech|reflect|freeze,random,
20,200,220,chase|fast|ranged|explode|heal|mortar|blink|swarm|summoner,splitter|shielded|leech|reflect|freeze,random,bossEvery5
