# 武器数值表
# 格式: CSV (逗号分隔), 以 # 开头的行为注释行
# 可在 Excel / Google Sheets 中直接编辑
#
# ====== 列说明 (49列) ======
# --- 基础信息 ---
# id:           武器唯一标识 (英文, 程序内部使用)
# name:         武器名 (中文)
# desc:         武器描述 (支持 中文 + 数值)
# icon:         武器图标 (emoji)
# slots:        武器槽位数 (1=单手, 2=双手, 占用槽位数)
# cost:         基础购买价 (材料, 商店最终价格受关卡数加成)
# tag:          攻击方式标签 (melee/ranged/magic, 三大粗分类)
# minLevel:     最低出现等级 (1=商店可刷出, 2+需升级/合成获得)
#
# --- 基础数值 (4级) ---
# damage_lv1~4:  每级基础伤害 (整数, 每级独立)
# cooldown_lv1~4:每级攻击间隔 (秒, 越小越快, 每级独立)
#
# --- 属性修正 (加减/乘算, 叠加到角色面板) ---
# attackRangeMult: (v1.3 移除, 死字段)
# speedMult:       移速修正 (乘算, 1.0=不变, 1.15=+15%, -0.1=-10%)
# critChanceAdd:   暴击率附加 (小数, 0.05=+5%)
# critDamageAdd:   暴击伤害附加 (小数, 0.5=+0.5x)
# armorAdd:        护甲附加 (整数)
# hpRegenAdd:      生命回复附加 (每秒回复量)
# maxHpAdd:        最大生命附加 (整数)
# lifeStealAdd:    生命偷取附加 (小数, 0.03=+3%)
#
# --- 弹道/攻击行为参数 ---
# bulletCount:     弹道数/投射物数量 (霰弹枪=5, 散布在spread角度内; 近战=伤害计算次数)
# bulletSpeed:     子弹飞行速度 (像素/秒, 0=瞬移攻击)
# bulletMaxRange:  子弹最大飞行距离 (像素, 0=使用attackRange, 默认0)
# attackRange:     攻击范围/射程 (像素, 近战=80, 远程=300~400)
# spread:          弹道散布角度 (弧度, 0=集中, 0.2=散布, 与bulletCount配合)
# pierce:          穿透次数 (0=不穿透, 3=穿3个敌人)
# burnDps:         灼烧每秒伤害 (0=无灼烧)
# burnMaxStacks:   灼烧最大层数 (默认3)
# chainCount:      连锁电击次数 (0=无连锁)
# splashRadius:    溅射/爆炸半径 (像素, 0=无溅射)
# homingStrength:  追踪强度 (0=无追踪, >0=追踪弹)
# slowAmount:      减速比例 (小数, 0.3=减速30%)
# slowDuration:    减速持续时间 (秒)
# healOnHit:       击中回复生命 (整数)
# auraHeal:        光环每秒治疗量 (shield_aura行为用)
# auraRadius:      光环半径 (像素)
# sprayCone:       喷射锥角 (弧度, spray行为用)
#
# --- 元数据 ---
# behavior:  攻击行为模式
#   bullet      子弹 (默认, 单发)
#   spread      散射 (扇形多发, 配合bulletCount+spread)
#   melee_sweep 近战挥砍 (180°扇形, bulletCount=多段伤害)
#   melee_thrust近战突刺 (直线穿透, bulletCount=多段伤害)
#   explode     爆炸
#   frost       冰冻
#   shock       电击
#   homing      追踪弹
#   spray       喷射 (锥形多发, 配合sprayCone)
#   heal_bullet 治愈弹 (击中回血友军)
#   shield_aura 圣光盾 (光环治疗)
#   class:    武器类别 (纯装饰, 见 csv/classes.csv)
#   Blade|Blunt|Heavy|Gun|Bow|Crossbow|Elemental|Medical|Tool|Precise|Explosive|Support|Primitive
#   支持 | 多值, 如 Bow | Elemental
# knockback:击退力度 (近战默认300, 远程默认100)
# magSize:  弹匣容量 (0=无限, >0=有限需换弹)
# reloadTime:换弹时间 (秒, 仅magSize>0时生效)
id,name,desc,icon,cost,tag,minLevel,damage_lv1,damage_lv2,damage_lv3,damage_lv4,cooldown_lv1,cooldown_lv2,cooldown_lv3,cooldown_lv4,speedMult,critChanceAdd,critDamageAdd,armorAdd,hpRegenAdd,maxHpAdd,lifeStealAdd,bulletCount,bulletSpeed,bulletMaxRange,attackRange,spread,pierce,burnDps,burnMaxStacks,chainCount,splashRadius,homingStrength,slowAmount,slowDuration,healOnHit,auraHeal,auraRadius,sprayCone,behavior,class,class_2,knockback,magSize,reloadTime,unlockType,unlockValue,isBasic
# ====== 近战 (melee) ======
plasma,等离子刀,挥动180° +50%伤害,🗡️,10,melee,1,20,30,50,75,0.5,0.47,0.44,0.4,0,0,0,0,0,0,0,1,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,melee_sweep,Blade,sword,300,0,0,totalLevels,1,true
axe,能量斧,挥动180° +20%暴伤 -15%攻速,🪓,12,melee,1,20,35,55,85,1,0.93,0.86,0.79,0,0,0.5,0,0,0,0,1,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,melee_sweep,Heavy,greataxe,500,0,0,totalKills,20,true
dagger,双持匕首,双挥180° +10%攻速 -30%射程,🔪,8,melee,1,15,25,40,60,0.38,0.35,0.33,0.3,0,0,0,0,0,0,0,2,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,melee_sweep,Blade,dagger,200,0,0,totalLevels,2,true
chainsaw,链锯剑,挥动 灼烧5/s×3层 +20%伤害 -10%移速,⚙️,14,melee,1,20,30,50,75,0.55,0.51,0.47,0.43,-0.1,0,0,0,0,0,0,1,0,0,80,0,0,5,3,0,0,0,0,0,0,0,0,0,melee_sweep,Blade,sword,400,0,0,totalKills,50,false
sword,能量剑,突刺穿透3 +15%伤害,⚔️,11,melee,1,20,30,50,75,0.6,0.56,0.52,0.48,0,0,0,0,0,0,0,1,0,0,80,0,3,0,0,0,0,0,0,0,0,0,0,0,melee_thrust,Blade,sword,250,0,0,totalLevels,3,false
katana,武士刀,突刺穿透3 暴击伤害×3 +5%暴率,🗡️,15,melee,1,25,40,65,100,0.7,0.65,0.6,0.55,0,0.05,0,0,0,0,0,1,0,0,80,0,3,0,0,0,0,0,0,0,0,0,0,0,melee_thrust,Blade,katana,250,0,0,totalKills,100,false
hammer,重锤,挥动击退400 +15%伤害 -25%攻速,🔨,16,melee,1,30,55,85,125,1.4,1.3,1.21,1.11,0,0,0,0,0,0,0,1,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,melee_sweep,Heavy,hammer,600,0,0,totalLevels,5,false
spear,能量矛,突刺穿透3 -10%攻速,🔱,13,melee,1,20,30,50,75,0.85,0.79,0.73,0.67,0,0,0,0,0,0,0,1,0,0,80,0,3,0,0,0,0,0,0,0,0,0,0,0,melee_thrust,Heavy,pike,300,0,0,totalLevels,4,false
claws,利爪,挥动三连击180° +15%攻速 -20%伤害,🐾,7,melee,1,15,25,40,60,0.3,0.28,0.26,0.24,0,0,0,0,0,0,0,3,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,melee_sweep,Blade,dagger,150,0,0,totalKills,30,true
whip,能量鞭,挥动范围大 +10%射程 -10%伤害,🪢,14,melee,1,15,25,40,60,1.25,1.16,1.08,0.99,0,0,0,0,0,0,0,1,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,melee_sweep,Blunt,flail,200,0,0,totalKills,80,true
wrench,扳手,近战击退·每波召唤炮塔,🔧,8,melee,1,12,16,20,24,1.7,1.6,1.5,1.4,0,0,0,0,0,0,0,1,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,melee_sweep,Tool,wrench,20,0,0,,0,true
# ====== 枪械 (gun) ======
pistol,手枪,平衡型标准武器,🔫,0,ranged,1,10,20,30,40,0.5,0.47,0.44,0.4,0,0,0,0,0,0,0,1,1250,0,320,0.1,1,0,0,0,0,0,0,0,0,0,0,0,bullet,Gun,pistol,40,0,0,,0,true
smg,冲锋枪,极快射速 -25%伤害 +5%移速,🔫,12,ranged,1,5,10,20,30,0.3,0.28,0.26,0.24,0.05,0,0,0,0,0,0,1,1750,0,320,0.12,0,0,0,0,0,0,0,0,0,0,0,0,spread,Gun,smg,40,0,0,totalLevels,2,true
